Last syntax Revision                                      | Tmux 1.9a                    | opt-type | chg
                                                          | window-status-content-style  |     w    | New
window-status-current-attr                                | window-status-current-attr   |     w    | Deprecated
window-status-current-bg                                  | window-status-current-bg     |     w    | Deprecated
window-status-current-fg                                  | window-status-current-fg     |     w    | Deprecated
window-status-current-format                              | window-status-current-format |     w    |
                                                          | window-status-current-style  |     w    | New
window-status-fg                                          | window-status-fg             |     w    | Deprecated
window-status-format                                      | window-status-format         |     w    | Deprecated
                                                          | window-status-last-attr      |     w    | Deprecated
                                                          | window-status-last-bg        |     w    | Deprecated
                                                          | window-status-last-fg        |     w    | Deprecated
                                                          | window-status-last-style     |     w    | New
                                                          | window-status-separator      |     w    | New
                                                          | window-status-style          |     w    | New
word-separators                                           | word-separators              |     g    |
                                                          | wrap-search                  |     w    | New
xterm-keys                                                | xterm-keys                   |     w    |
